Trade name,INCI,Other designations,Other preservative trade names,CAS#,Type,Formula layer,Organic formulation,Butter type,Preservative type,Surfactant type 1,Surfactant type 2,Plant part,Process,Scent,Perfume note,Color,Presentation,Appearance,Melting point °C,Viscosity,Density,Saponification value,Acid value,Molecular weight,Description,Composition,Characteristics,Functions,Aroma-psychology - promotes:,Aroma-psychology - counteracts:,Properties/actions,Uses,Type of formulation,Mask usage,Solubility,Solidifies at,Temperature stability,Absorption rate,Iodine value - highest,Iodine value - lowest,Iodine value,pH as supplied,Application pH,Stable within a pH range of,Recommended dosage,Heat sensitive,Formulation tips,Heat and hold,Hazards / Safety data,Shelf life,Storage,Conservation tips,Co-X,Interchangeable with,Use with suggested chelator,Use with following preservatives,Compatibility with other surfactants,Incompatibility,Attention,Docs.,Photo(s),Link #1,Link #2,Studies,Stock,Notes,Alpha-Linolenic Acid avg,Arachidic Acid avg,Arachidonic Acid avg,Behenic Acid avg,Brassic Acid avg,Capric Acid avg,Caproic Acid avg,Caprylic Acid avg,Eicosadienoic Acid avg,Eicosatrienoic Acid avg,Elaidic Acid avg,Eleostearic Acid avg,Erucic Acid avg,Gadoleic/9-Eicosenoic Acid avg,Gamma-Linolenic Acid avg,Gondoic/11-Eicosenoic Acid avg,Lauric Acid avg,Lignoceric/Tetracosanoic Acid avg,Linoleic Acid avg,Myristic Acid avg,Nervonic Acid avg,Oleic Acid avg,Palmitic Acid avg,Palmitoleic Acid avg,Punicic Acid avg,Ricinoleic Acid avg,Stearic Acid avg,Stearidonic Acid avg,Vaccenic Acid avg,Unsaponifiables avg,Oil high in...,Blends well with,Stock origin,Active matter,Clay type,Safety - Therapeutic status,Safety - Skin irritation,Safety - Skin sensitization,Safety - Skin photosensitization,Dryness,Emulsion type,Use with,pH modifier
a-Bisabolol,Bisabolol,,,515-69-5,Active,Active botanicals,Accepted,,,,,,,,,"Clear,Light yellow",Liquid,"Liquide huileux translucide, incolore à jaune pâle, à l'odeur végétale douce et agréable",,,0.9,,,,"PROPRIÉTÉS
Apaisant
Réparateur

INDICATIONS
Peaux sensibles
Peaux sujettes à inconforts
Lèvres 
Peaux à imperfection
Soins après-soleil
QUELQUES IDÉES
S'utilise en tant qu'ingrédient dans vos préparations :

Soins apaisants et réparateurs
Soins après-rasage ou post-épilation
Soins après-soleil apaisants
Baumes protecteurs et réparateurs pour les lèvres, les mains, ou les pieds

Composé naturel présent dans plusieurs plantes, dont notoirement la Camomille allemande, traditionnellement utilisée pour ses propriétés apaisantes, le (L)-alpha-bisabolol se retrouve aussi en forte concentration dans l'écorce de Candeia (Vanillosmopsis Erythropappa). Ce petit arbre de la famille des Astéracées pousse au Brésil et produit un bois blanc dur et résineux. Les feuilles et fleurs de cet arbre sont connues pour leurs propriétés médicinales, de même que l'huile essentielle issue de la distillation des écorces. C'est à partir de cette huile essentielle, par distillation fractionnée, que le (L)-alpha-bisabolol pur est obtenu. Contrairement au bisabolol synthétique, qui contient les 2 énantiomères (D)-alpha bisabolol (forme inactive) et (L)-alpha bisabolol (forme naturelle, active), le Bisabolol végétal contient uniquement la forme active, et sera donc beaucoup plus efficace à plus faible dose (il faut 2 fois plus de bisabolol synthétique pour la même activité).

Le Bisabolol est un actif non toxique et doux pour la peau, très efficace à faibles dosages. Il est particulièrement réputé pour ses propriétés apaisantes et réparatrices, qui en font un additif de choix dans les soins des peaux sensibles, les produits après-soleil ou après-épilation, le soin des lèvres...

Nous vous proposons du Bisabolol 100% d'origine végétale, certifié BIO et issu d'une filière de développement durable.
Nous travaillons pour cet actif avec un fournisseur qui obtient le bisabolol uniquement à partir de bois de Candeia certifié FSC (Forest Stewardship Council). Ce label relatif aux activités forestières pose des principes et des critères reconnus au niveau mondial comme étant les plus stricts, et assure une gestion durable de la ressource en matière sociétale, environnementale, économique et écologique. Dans cet esprit, les sous-produits ligneux obtenus lors du procédé sont également valorisés pour fabriquer des bois composites.
Avec plus de 150 partenaires-propriétaires terriens, le producteur de ce bisabolol a mis en place une collaboration respectueuse des communautés locales et a développé une filière garantissant un haut niveau de qualité et de traçabilité.","Fraction de distillation de l'huile essentielle de Candeia (Vanillosmopsis Erythropappa), arbre originaire du Brésil",,,,,"anti-inflammatory,calming; soothing","acne-prone skin,redness; rosacea; blemishes,sensitive skin",,checked,Oil,,,,,,,,,,0.05 - 0.5%,❌,,,,,room temperature,,,,,,,,,,BisabololVegetal01_PresentationFleur.png (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/ByytOfvpNUQ1URpn0Wy9cA/CPSnkJ2hN45vfFl-wCK49bb1RQsachMednm5jC5-QnmI3YKPztZR7J6J1r55V2UEoaL0GcaFYs7ndqNlL9C76cEWqOMOdwFSi5bmXoF-9d6IG-h4xftlPpcZg_5uqjtBIUcGViPjteYgeyKQXe4M7A/B7me1Yu1hTurcxP7i-ufCcRPyJwXlgwqAuyLTatmX8c),https://www.aroma-zone.com/info/fiche-technique/actif-cosmetique-bisabolol-bio-aroma-zone,,,☠️ a-Bisabolol / 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Açaí Oil,Euterpe Oleracea (Acai) Fruit Oil,,,,Vegetable oil,Foundation,Accepted,,,,,,,,,Dark green,,,,,,,,,"Why is Acai oil so beneficial?: The Acai fruit does, in fact, contain a truly amazing nutrient profile with a combination of omega-3, omega-6 and omega 9 essential fatty acids that support cellular structure, phytosterols, vitamins such as B1, B2, B3, E, and C, minerals such as phosphorus, calcium, and potassium, and essential amino acids. And as importantly, the Acai fruit is rich in anthocyanins and phenols, which are powerful antioxidants. It is no secret that Vitamin C is essential for helping to rejuvenate and revitalize your skin. Research shows that the content of anthocyanins is reported to be an astounding 10-30 times higher than the anthocyanin content of red wine grapes. Studies have also shown that the phenols in Acai Berry Oil may help destroy and protect against cancer cell formation.

PROPERTIES:

Highly Moisturizing

Natural Emollient

Restores Elasticity to the Skin

Powerful Antioxidant Properties

Strong Anti-Inflammatory Properties

Anti-bacterial

Protects Skin from Free Radicals

Quick Absorption

Mild, Sweet Fruity Aroma

Rich in Essential Fatty Acids

APPLICATIONS:

Mature, Aging Skin

Dry, Cracked Skin

Damaged Hair

Acne

Eczema, Psoriasis and Other Skin Conditions 

Muscular Aches and Swelling

The Açaí palm tree is native to tropical Central and South America and grows mainly in the Brazilian flood plains and swamps. Açai has been a traditional food of the native people of the Amazon for hundreds of years. Studies show that Açaí has 10x more antioxidants than red grapes. Antioxidants decrease cell destruction, which in turn combats the aging process and helps keep the body free from disease. This exotic Rain Forest berry has most recently been proclaimed one of the most nutritious and powerful foods in the world and is also considered one of the best raw materials for the cosmetic and chemistry industries.  The butter extracted by cold pressed method from the pulp of the Açaí fruit, is rich in chlorophyll,  protein, calcium, phosphorous, iron, and vitamin B, A and E, essential fatty acids Omega 6 and 9.  The high amount of fatty oleic acid found on Açaí fruit helps the omega-3 penetrate into the cell membranes, controlling the process of premature ageing, while moisturizing, restoring elasticity and suppleness. Acai  butter helps to nourish and condition dry and damaged hair, making it an excellent ingredient  in natural hair care. 
(Rainforest Chica)
---
It is considered to have regenerative and anti-aging properties on the skin due to its constituents like essential fatty acids, phytosterol, and vitamins. 
Phenolic constituents are associated with the anti-oxidant activities in various plant-derived foods. The fruit of E. oleracea contains phenolics as major secondary metabolites remarkably an- thocyanins (1–5), which is water-soluble pigments responsible for the dark purple color, and other  avonoids (6–21).5-14 Cyanidin-3- rutinoside (2) is most abundant anthocyanin followed by cyaniding- 3-glucoside (1).5,7-11 Non-anthocyanin fractions include a diversity of  avonoids (6–21) and phenolic acids (22–25). Among them,  avone- C-glycosides of luteolin (orientin 8, homoorientin 9) and apigenin (isovitexin 10, vitexin 11) are dominant.
Anti-oxidant capacities of  avonoids isolated from the pulp of E. oleracea were evaluated using a chemical-based assay and two cell-based assays: oxygen radical absorbance capacity (ORAC) assay,
cell-based anti-oxidant protection (CAP-e) assay and reactive oxygen species formation in polymorphonuclear cells (ROS PMN) assay.13 By combining these assays, quercetin (15) and dihydrokaempferol (19) were found to be a good anti-oxidant with cell penetration ability.
Anti-in ammatory assay showed that velutin (16), an uncommon  avone, inhibited secreted embryonic alkaline phosphatase (SEAP) secretion in RAW-BlueTM cells induced by LPS or oxLDL at low micromole level.14
E. oleracea fruit is rich in lipids with a high amount of unsatu- rated FA (26) (74%), of which oleic acid (omega-9) and linoleic acid (omega-6) are predominant with 56% and 13%, respectively.7 In addi- tion, it has a high phytosterol level, mainly β-sitosterol (27)7 and these Vitamin E, a general term for tocopherols and tocotrienols (α-, β-, γ-, and δ-), which are effective lipid-soluble antioxidants and α-tocopherol has been reported to play an important role in skin photoprotection.63 Darnet et al.15 reported that tocopherol (28)
pro les (α, β+γ, δ) in E. oleracea fruit pulp from three different locations of Amazon estuary were found to be similar, but the mean total tocopherol value (404.5 μg g-1) was high with a concentration equivalent to many nuts.
(http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422016000200194)",,,,,,,,,,,,,,90,60,60 - 90,,,,,❌,,,,,,,,,,,,,,,Açaí Oil.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/l4VMvq7ZatE1iwH-CWU8Tw/jyHPU4pxNGILlpIQNlAvFW53T8GwNWpnDIuwzvw1HnblypgirdG5jyyLmv1L4wjpDTRYfs3MOWs-fIeOhUyfVTSLgWakOKWuKSf7qMHMLHI/ppccgaoVJCx4NZyHLXSmWQeQNtTt3JW5iUl4o2ebISc),,,,,,,,,,,,,,,,,,,,,,,,,,,68,6,,,,,,,,,,,,,,,,,,,,
Agarwood EO,Aquilaria malaccensis,,,,Essential oil / CO2 / Absolute,Aromaceutical,,,,,,wood,steam distilled,"Amber-y incense,Deep,Sensual,Smoky,Sweet,Warm",Base,Dark gold-amber,,,,thick,,,,,"""The fragrance of Agarwood can transport us through time and space to an imagined antiquity, or even into a trance state."" (Jennifer Peace Rhind, Fragrance and Wellbeing - Plant Aromatics and Their Influence on the Psyche)

""[Agarwood oils] evoke mental or spiritual reflection and a rekindled sense of awe for the phenomena of nature."" (Kurt Schnaubelt)",,,fixative,,,,,,,,,,,,,,,,,,❌,,,,,,,,,,,,,,,"agarwood-fleuressence.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/FDclNJs8O4JmbqFfR2ozsg/f7yM2ljozlpCN98e5M7EPkQmOjw7vqesSm5OPt_jXBJZD3wywT-bz5PgVFhXoTTktE_nwSP6JMCfXviD2KReCdTYJ-JvMkjSXyK3TA51TZc9GUEr2S9K1UhLVS1zZyT5/wG6qU0TuPFMTwnEPVYjafdSh8UbjTQoO5vgayl33hAo),agarwood-tree.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/Ct6R2gcEuDe_KNBMVYmf5g/eEwAly002IRxnp_iT2LdYGB-EBkcfvkcKto4LzeJV9wXWwoHgfEWIJFu8Rf-5M094tSH6s4g6u-8Dg6ryY4EZRCxEp3qcuz738_szD6flmA/fqUKXPK1IhRB4DFicxc3bLeaIQHaWexwkx-W4P8b7I8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not photosensitizing,,,,
Algo'Zinc,Water (eau) (and) Glycerin (and) Hydrolyzed Algin (extrait d'algue Laminaria Digitata) (and) Zinc sulfate,,,,Active,Functional,Accepted,,,,,,,,,"Pale yellow,Orange-yellow",Liquid,,,,1.1,,,,"Cet actif à base de zinc complexé par un extrait d'algue Laminaire a des propriétés purifiantes, séborégulatrices et apaisantes prouvées. C'est donc un actif très intéressant pour réaliser des soins pour les peaux grasses, à imperfections, mais aussi pour les cheveux gras ou sujets aux pellicules.

Le zinc est un oligo-élément qui joue un rôle physiologique très important dans notre organisme puisqu'il intervient dans l'activité de près de 300 enzymes. Au niveau de la peau, le zinc est notamment connu on action rééquilibrante, purifiante et apaisante cutanée. Il est traditionnellement utilisé sur les cuirs chevelus gras et les peaux à imperfections.

La complexation du zinc par des polysaccharides issus d'algue Laminaire augmente sa biodisponibilité et son affinité avec la peau et le cheveu. Ces polysaccharides forment un film doux et actif à la surface de la peau.

Rééquilibrant : régule la production de sébum par inhibition de la 5-alpha-reductase, responsable de la séborrhée d'origine hormonale
Purifiant : efficacité prouvée contre Propionibacterium acnes (bactérie responsable de l'acné), Staphyloccocus aureus et Malassezia furfur (levure impliquée notamment dans les problèmes de peau)
Apaisant :  régulateur de l'interleukine 1- alpha, médiateur de l'inflammation
Très bonne affinité avec le cheveu, ce qui prolonge son action",Water (eau) (and) Glycerin (and) Hydrolyzed Algin (extrait d'algue Laminaria Digitata) (and) Zinc sulfate,,,,,"anti-dandruff,anti-inflammatory,antibacterial,calming; soothing,purifying,sebum regulator","acne-prone skin,hair - dandruff,mixed skin,oily hair,oily skin,sensitive hair","Shampoo,Emulsions,Gels,Creams,Cleansers,Shower gel,Makeup remover",checked,Water,,,,,,,,,,5%,❌,"Incorporez l'Algo'zinc à froid, en fin de formulation",,,,room temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allantoin USP,Allantoin,,,97-59-6,Active,Functional,Accepted,,,,,,,Mild,,White,Solid,White powder.,228 - 238°C,,"at 20 °C: 1,7 g/cm³",,,"158, 12 g/mol.",Reduces inflammation and blemishes.,,,,,,"anti-inflammatory,improves barrier properties of the skin,soothing,soothes irritation,moisturizing,protecting","acne-prone skin,inflammation,redness; rosacea; blemishes,sensitive skin,wounds; scratches,cold sores,burns,cuts,sunburn,chapped lips,chapped skin,deodorant","Hand cream,Body lotion,Lipsticks,Whipped butters,Lotion bar,Shaving products,After sun products,Wipes,Foot powders,Baby powders,Diaper rash cream",,Water,,,,,,,7  (0.5% water dispersion),,9-Apr,0.5% - 2.0%,❌,"It's insoluble in oil and poorly soluble in water. It must be inserted in the water phase, preferably warm. Salicylic acid facilitates its solubility and therefore allow it to be used at higher percentages.
Dissolve it in little warm water and add it to the coll down phase.
-----
Allantoin is compatible with most ingredients used in personal care formulations. Water solubility at greater
than 0.5% is an issue. Suspending Allantoin in a thick base it the best way to resolve this issue. When
formulating, care should be taken to look for Allantoin recrystallization.
To incorporate 0.5% Allantoin, or more, into an emulsion product, the emulsion is made and Allantoin is
added during the cooling process below 50°C (122°F). Good agitation is required to thoroughly disperse the
Allantoin to achieve a suitable suspension. Addition of Allantoin at 0.5% or more or at temperatures above
50°C (122°F) in aqueous systems can cause solubilization and recrystallization upon cooling into larger
particles which are perceptible during product use. ",,,3 years from date of manufacture,room temperature,"Allantoin is a hygroscopic material (it will absorb water from the atmosphere). It should be stored in a
tightly closed container in a cool, dry place.",,,,,,,,,,,,,☠️ Allantoin USP / 344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,,,,,,,,,,
Aloe Vera Gel," Aloe barbadensis leaf juice*, Leuconostoc/radish root ferment filtrate, Aqua, Xanthan gum, Arginine (*Ingrédients issus de l'Agriculture Biologique).",,,,Humectant,Functional,Accepted,,,,,,,,,,,,,,1.04,,,,,,,penetration enhancer,,,,,,,,,,,,,,5.5,,,,❌,,,,,,,,,,,,,,Aloe Vera as Penetration Enhancer | Insight Medical Publishing (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/82i5smAbIMSQOVhoMW7L-g/v5OgO1b_cqona3gunY1PzKotJRDMEfqiUEaAFDIejujHHJVIeHU4dLIBP-MTJevVrd0r7WUfCyFEretRYtIW3XKnWOzj1ZjpNjde9Yo7ECxsWyNu4V_8fUSQn1FWL6nhCdNrnYJ3zKNew5MGCnDiFx4XkZtw9T5Hn_fBkiTOJ64/Tk5l9e6NQ0kozrABI-qhFwwrwvnCQDJPJWDNEMU3c3A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aloe Vera Powder 200x,Aloe Barbadensis Leaf Juice,,,,Humectant,Functional,Accepted,,,,,,,,,,Solid,,,,,,,,,,,,,,"anti-inflammatory,emollient,hydrating,moisturizing",,,,Water,,,,,,,,,,,❌,To make a batch to incorporate in recipes: 1 gr 200x aloe vera powder to 198.5gr distilled water and 0.5gr Liquid Germall Plus.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpaflor® Gigawhite™,"Water, Glycerin, Alcohol, Malva Sylvestris (Mallow) Extract, Mentha Piperita (Peppermint) Leaf Extract, Primula Veris Extract, Alchemilla Vulgaris Extract, Veronica Officinalis Extract, Melissa Officinalis Leaf Extract, Achillea Millefolium Extract",,,,Active,Active botanicals,Accepted,,,,,,,,,Light brown,Liquid,"Clear, amber colored liquid ",,,,,,,"Alpaflor® Gigawhite™ is a skin lightener developed from Alpine plants by DSM.  Alpaflor® Gigawhite™ can brighten and even skin tone as well as reduce the color intensity of age spots.

Alpaflor® Gigawhite™’s development is the result of a research program in which about a hundred plants were selected for their tyrosinase-inhibiting capacity. Dopachrome formation was measured using a spectrophotometer.  Of the hundred plants tested, 15 were selected for their in vitro tyrosinase-inhibiting activity and were subsequently tested on cell cultures. In the cell cultures, 7 plants manifested even greater tyrosinase-inhibiting activity.  These were active not only on whole cells (with their membranes) but also on cell lysates (the membranes having been destroyed). It was this discovery that led to the development of  Alpaflor® Gigawhite™. The plants were combined in a proprietary and synergistic ratio maximizing its activity and producing an even more effective compound. In in vitro, ex vivo and in vivo tests, Alpaflor® Gigawhite™ has an effect on the tyrosinase-inhibiting mechanism involved in melanin biosynthesis.

Functions

Skin-lightening activity
Reduction of age spots color intensity
Evening of skin tone
Cosmetic Applications

All types of skin lightening activity
Reduction of age spots color intensity
Evening of skin tone","Raw material is certified by Ecocert Greenlife, according to the ECOcert Standard for Natural and Organic Cosmetics:

Ingredients:  99.90% Natural Origin; 29.37% Organic Origin",,,,,"hyperpigmentation; skin lightener,illuminating","hyperpigmentation,mature skin",,,Water,,,,,,,5.5 - 6.5 ,,3.0 - 6.5,3 - 5%,❌,"Should be incorporated into cosmetic formulation at temperature below 60°C (140°F)

Compatible with ethanol in concentrations up to 50%",,,,room temperature,"Storage: Protected from direct light and humidity at a temperature of 59°-77°F (15°-25°C) 

Shelf life: 30 months, properly stored, in sealed vessel.",,,,,,,,,alpaflor.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/LdXmFgejjf8V-Cj-nCho7g/wscUEE3fKUKJLaxoJ8PU6M3BQLoXmY73I9_Z-llhug1_ElMcaVWnQHDtEsNvGreuof1vrhsTBth6J9b7-xXnibUADhOQMrh7i35UlVIyzz4/d4_lKbb7oeqHU8KFNkGth_J9qYcP6zocg5i6WjhHa4A),https://www.lotioncrafter.com/alpaflor-gigawhite.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amber Essence Oil,,,,,Essential oil / CO2 / Absolute,Aromaceutical,,,,,,,,,,,,,,,,,,,,"has a full-bodied and deep resin-like aroma with intense earthy undertones. It contains rare Amber oil made from ancient fossilized tree resin, along with precious Agarwood CO2 for an earthy, grounded scent. It includes an array of oils held sacred for millennia - Cedarwood, Frankincense, Myrrh, and Spikenard - and will carry you back to a time when precious oils and resins were as highly valued as gold and gems. This blend may be used to calm the mind, as a natural perfume, to fragrance your own massage or body products, or as a base for your own blends.

*100% Pure and Natural Ingredients

*90% Certified Organic Ingredients

*12% Essential Oils in a Carrier Oil Base

INGREDIENTS:

Cistus ladaniferus (Rock Rose) Extract
Aquilaria agallocha (Agarwood) Extract
Oleum succini (Amber Resin) Oil
Vanilla planifolia (Vanilla) Extract
Helianthus annuus (Sunflower) Oil *
Santalum austrocaledonicum (Sandalwood) Oil
Boswellia serrata (Frankincense) Extract
Pogostemon cablin (Patchouli) Oil
Nardostachys grandiflora (Spikenard) Oil
Commiphora myrrha (Myrrh) Oil
Artemisia pallens (Davana) Oil
Cyperus scariosus (Nagarmotha) Oil
Vetiveria zizanioides (Vetiver) Oil *
Liquidambar styraciflua (Liquidambar) Oil
Cedrus deodora (Himalayan Cedarwood) Oil
Cedrus atlantica (Atlas Cedarwood) Oil *
Elettaria cardamomum (Cardamom) Extract
Piper nigrum (Black Pepper) Oil
Zingiber officinale (Ginger) Extract
* Organic Ingredients",,,,,,,,,,,,,,,,,,,,❌,,,,,,,,,,,,,,,Amber.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/2XCzBh6maefQiPnEUBWDLQ/BqNmAHK6pqLG9IKY0Ybxx1lcOHgHuRxpTZaES4Q4Slnr_czBk8IHYlhszKoVqhedtedKrMc3DDjdoi_lfcBG1ESwftFS5YhHAwlio11x8PE/sgGHv3JEWC5AorRGcSPBJe58xdXevHKbu5_vz0tsTdA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not photosensitizing,,,,
Amyris EO,Amyris balsamifera,"West Indian sandalwood, West Indian rosewood.",,,Essential oil / CO2 / Absolute,Aromaceutical,,,,,,wood,steam distilled,"Balsamic,Rich,Soft,Sweet,Vanilla,Warm,Woody",Base,Pale yellow,,,,thin-medium,,,,,,,,fixative,,,"antiseptic,sedative",mature skin,,,,,,,,,,,,,,❌,,,,,,,,,,,,,,,"220px-Amyris_Elenifera_Ypey73.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/CdvtmbiZqpdkpolLYK1cPQ/x-Ycl7csyXJtR7-Qhp7DUJ0HE9vgh_BGx3prN17TZOpxnSl5MZ385O1mc5CcRuz3ISZlgypoYWmynIzNrfuRSLuKbxGnmsqK3Sb8Qs3ktcRmeQWrkSJ4zCvIWibTZ1Cz/3oh_LYadEJrVADj9h8-UsCQQH0V99nILdbmkz8LCpxc),amyris.jpeg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/pVFCcaYOhA4je5RlNQyDww/xxBquK_NuUFeojE-KVWf8hF4IIoseOPqNVn02gMp6gRGzXuWr5n2VbnNCUOY8VtrLLwKtz-2T5zPf8HBfhxy8JSwfaue8aKgsGdIAGqBhjw/g8g67fA3c_5A399LeBVRRiFxbBtBwoGATE4y8O2e_k4)",,,,☠️ Amyris EO / 52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ylang Ylang nr. 1 EO,Vetiver EO,Tuberose absolute,Tangerine EO,Spikenard EO,Sandalwood (Royal Hawaiian) organic EO,Sandalwood (Australian) EO,Rose (Bulgarian) Absolute,Petitgrain EO,Patchouli EO,Palmarosa EO,Orange (Sweet) EO,Oakmoss absolute,Lime EO,Lemon EO,Lavender; Vera Wild (Lavandula Angustifolia) hydrosol,Lavender EO,Lavender,Grapefruit EO,Geranium EO,Geranium (organic) hydrosol,Frankincense (Serrata) EO,Frankincense (Sacra) EO,Frankincense (Frereana) EO,Frankincense (Carterii) EO,Cypress Blue EO,Citronella EO,Cedarwood; Atlas hydrosol,Cedarwood (Himalayan) EO,Cardamom EO,Bergamot non phototoxic EO,Bergamot EO",Haiti,,,,,,Not photosensitizing,,,,
